discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,,https://olympics.com/en/athletes/daeheon-hwang,Daeheon HWANG,Republic of Korea
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,,https://olympics.com/en/athletes/steven-dubois,Steven DUBOIS,Canada
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ren,Ziwei REN,People's Republic of China
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,,https://olympics.com/en/athletes/wenlong-li,Wenlong LI,People's Republic of China
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/shaoang-liu,Shaoang LIU,Hungary
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,GOLD,GameTeam,Netherlands,,UNDEFINED,Netherlands
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,SILVER,GameTeam,Republic of Korea,,UNDEFINED,Republic of Korea
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,BRONZE,GameTeam,People's Republic of China,,UNDEFINED,People's Republic of China
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete,,https://olympics.com/en/athletes/suzanne-schulting,Suzanne SCHULTING,Netherlands
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete,,https://olympics.com/en/athletes/choi-minjeong,Minjeong CHOI,Republic of Korea
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/hanne-desmet,Hanne DESMET,Belgium
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete,,https://olympics.com/en/athletes/choi-minjeong,Minjeong CHOI,Republic of Korea
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/suzanne-schulting,Suzanne SCHULTING,Netherlands
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete,,https://olympics.com/en/athletes/arianna-fontana,Arianna FONTANA,Italy
